prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
90000000.0,150.0,4.0,3.0,0,0,1,1,1,0,0,1,1,1,0,0
160000000.0,230.0,5.0,5.0,0,0,1,1,1,0,0,1,1,0,1,0
165000000.0,385.0,6.0,4.0,0,0,1,1,1,0,0,1,1,0,1,0
65000000.0,101.0,3.0,2.0,1,0,0,1,1,0,0,1,1,0,1,0
100000000.0,300.0,5.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
140000000.0,506.0,4.0,4.0,0,0,1,1,1,0,0,1,1,0,1,1
650000000.0,559.0,6.0,5.0,1,1,0,1,1,0,0,1,1,0,1,0
400000000.0,617.0,8.0,7.0,0,0,1,0,1,1,0,1,1,0,1,0
170000000.0,350.0,5.0,4.0,1,0,1,1,1,1,0,1,1,0,1,0
340000000.0,203.0,6.0,5.0,0,1,1,1,1,0,1,0,1,0,0,1
340000000.0,203.0,6.0,5.0,0,1,1,1,1,0,1,0,1,0,0,1
200000000.0,340.0,7.0,6.0,1,0,1,0,1,0,1,0,1,0,0,1
